days,date,minutes,hours,notes,anki,program,week,status
1,7/30/2023,45,0.8,Lecture 0 ,,CS50,1,unrelated full time job
2,7/31/2023,75,1.3,Lecture 0 ,,CS50,1,unrelated full time job
3,8/1/2023,115,1.9,Lecture 1,,CS50,1,unrelated full time job
4,8/2/2023,55,0.9,Scratch Project,,CS50,1,unrelated full time job
5,8/3/2023,130,2.2,Scratch Project,,CS50,1,unrelated full time job
6,8/4/2023,110,1.8,Scratch Project/Lecture 1,,CS50,1,unrelated full time job
7,8/7/2023,95,1.6,Hello World! Found Codespaces to make it work on Windows!,,CS50,,unrelated full time job
8,8/8/2023,120,2,Lecture 1/ CLI/Hello/Meow/Loops,,CS50,,unrelated full time job
9,8/10/2023,140,2.3,Finish Lecture 1/loops/calculator code/OTHER,,CS50,,unrelated full time job
10,8/11/2023,165,2.8,Video on Lecture 1 Data/LOTS of other work,,CS50,,unrelated full time job
11,8/12/2023,150,2.5,Problem Set 1/ STRUGGLE with World 1-1/Start Lecture2,,CS50,,unrelated full time job
12,8/14/2023,100,1.7,Lecture 2/Notes/Compiling/Floats/Int/Arrays,,CS50,2,unrelated full time job
13,8/15/2023,80,1.3,Lecture 2/ Notes/arrays/storage/Comand Line Inputs,,CS50,2,unrelated full time job
14,8/16/2023,115,1.9,Lab 2,,CS50,2,unrelated full time job
15,8/17/2023,90,1.5,Extra Video/ Section 2/trying to open files…/exercise section2,,CS50,2,unrelated full time job
16,8/18/2023,90,1.5,Exercises in section 2/ Coding/ Just got into mini videos,,CS50,2,unrelated full time job
17,8/19/2023,70,1.2,Just the function video and practices in section 2,,CS50,2,unrelated full time job
18,8/21/2023,80,1.3,Lots of Section 2 videos; Happy to finish variable practice/ videos,,CS50,,unrelated full time job
19,8/22/2023,100,1.7,Work on recording/Problem Set 2 Week 2,,CS50,,unrelated full time job
20,8/24/2023,85,1.4,videostuff.LONG struggle on cipher problem set,,CS50,,unrelated full time job
21,8/25/2023,125,2.1,LONG struggle on cipher problem set,,CS50,,unrelated full time job
